id,S,S_plus,S_base,s_mn,s_tn,s_mtn
H135,2.5354634855608854e-15,2.5354634855608854e-15,1.483302782625229,0.8868998314284389,0.9672286468530948,7.654954367083192e-16
H136,0.6331007188779413,0.6331007188779413,1.933120142297268,0.7054508214756346,0.9195734577985244,0.2532402875511763
H137,0.13150742458305142,0.13150742458305142,1.5111500809959957,0.8486795744451535,0.8758737460710271,0.0526029698332205
H138,0.57560296548726,0.57560296548726,1.6670620862497834,0.6467511624731747,0.7175727384799798,0.2302411861949039
H139,0.19726113687457847,0.19726113687457847,1.3232571848215482,0.4671158221585249,0.9403792377751878,0.0789044547498311
H140,1.7199149376972609e-15,1.7199149376972609e-15,1.306193747948134,0.7131243356106975,0.9196178493244684,5.103302911388794e-16
H141,1.2758257278471984e-15,1.2758257278471984e-15,1.2528738440208675,0.7398550678167471,0.8262372372093357,5.103302911388794e-16
H142,0.29656107156206296,0.29656107156206296,1.6782147109029362,0.7848830755663126,0.9421839736097792,0.118624428624825
H143,1.6310970957272485e-15,1.6310970957272485e-15,1.1545031506663397,0.5174782959854083,0.9256506423475144,5.103302911388794e-16
H144,0.1972611368745781,0.1972611368745781,1.3057108037206415,0.4944619662871767,0.8911001172704033,0.0789044547498311
H145,0.8715579641666868,0.8715579641666868,2.0624388387948587,0.8026199985009739,0.685981094784241,0.3486231856666746
H146,0.9168029839408411,0.9168029839408411,1.6870352078001152,0.0502943802221712,0.912495899601922,0.3667211935763362
H147,1.9863684636072987e-15,1.9863684636072987e-15,1.1118921169802685,0.5479426349582343,0.8419225112670997,5.103302911388794e-16
H148,0.13150742458305267,0.13150742458305267,1.3010644553068011,0.5889987565690961,0.8729475318355897,0.052602969833221
H149,0.1972611368745781,0.1972611368745781,1.5579455903060306,0.9202914838351842,0.7805640829541315,0.0789044547498311
H150,0.20348771372924268,0.20348771372924268,1.404287554070777,0.6332340794422108,0.8677657209847078,0.0813950854916969
H151,1.8087327796672735e-15,1.8087327796672735e-15,1.4075471901265613,0.8888180171344705,0.8706159705237293,5.103302911388794e-16
