id,title,year,field,B1_tfidf_dist,B1_bm25_negmax
R151,A Minimum Description Length Approach to Multitask Feature Selection,0,ALL,0.9178386556598592,-263.13004866944857
R152,Mining Compressed Repetitive Gapped Sequential Patterns Efficiently,0,ALL,0.8786508206320943,-318.3130851721273
R153,Apply Local Clustering Method to Improve the Running Speed of Ant Colony Optimization,0,ALL,0.8629412248337918,-269.7270297171508
R154,Graphical Probabilistic Routing Model for OBS Networks with Realistic Traffic Scenario,0,ALL,0.8791515688424079,-216.67051325811255
R155,Manipulation and gender neutrality in stable marriage procedures,0,ALL,0.8983175479737335,-221.47954488125322
R156,An Agent Based Classification Model,0,ALL,0.8607230109671902,-217.1251627160619
R157,Dendritic Cells for Anomaly Detection,0,ALL,0.8918927770731019,-190.3223802413003
R158,A new approach to content-based file type detection,0,ALL,0.9008351349111867,-159.0928651998344
R159,Exploration Of The Dendritic Cell Algorithm Using The Duration Calculus,0,ALL,0.8835388182743249,-279.03736822697147
R160,Information Fusion in the Immune System,0,ALL,0.8845800088751784,-178.8722463054055
R161,Belief Propagation for Min-cost Network Flow: Convergence and Correctness,0,ALL,0.7447084369468537,-347.6883296133144
R162,Nurse Rostering with Genetic Algorithms,0,ALL,0.8636999837117372,-528.4845588229119
R163,GRASP for the Coalition Structure Formation Problem,0,ALL,0.8786057459334347,-217.2439310779707
R164,PCA 4 DCA: The Application Of Principal Component Analysis To The Dendritic Cell Algorithm,0,ALL,0.8899633372699799,-231.88672089909323
R165,Mirrored Language Structure and Innate Logic of the Human Brain as a Computable Model of the Oracle Turing Machine,0,ALL,0.8892209688075574,-130.97681193024354
R166,From RESTful Services to RDF: Connecting the Web and the Semantic Web,0,ALL,0.9242415527529655,-226.99752787901366
R167,Counterexample Guided Abstraction Refinement Algorithm for Propositional Circumscription,0,ALL,0.7973648188889635,-200.73693486997144
R168,Formalization of Psychological Knowledge in Answer Set Programming and its Application,0,ALL,0.826875546444083,-217.5183507823328
R169,Machine Learning Approaches for Modeling Spammer Behavior,0,ALL,0.704059539568838,-204.36837327357486
R170,Gaussian Process Bandits for Tree Search: Theory and Application to Planning in Discounted MDPs,0,ALL,0.8717148938810058,-309.76692957169183
R171,Hierarchical Semi-Markov Conditional Random Fields for Recursive Sequential Data,0,ALL,0.9072782178101813,-142.28489660905277
R172,An Embarrassingly Simple Speed-Up of Belief Propagation with Robust Potentials,0,ALL,0.7828371605680609,-287.6337178578637
R173,Predictive State Temporal Difference Learning,0,ALL,0.8745062903954275,-293.9748351310039
R174,Covered Clause Elimination,0,ALL,0.7872162600105147,-120.77518866760605
