new_id,old_id,S_new,S_old,delta
R75,H917,-0.1116145756593959,-0.5886258560615812,0.4770112804021853
R76,H617,-0.1826627411158435,-0.0406889496076835,-0.14197379150815997
R77,H1022,-0.2082962454318725,-0.3732854220575665,0.16498917662569398
R78,H1345,-0.0647646278221652,-0.0671090806870845,0.0023444528649192997
R79,H2014,-0.1669847772777991,-0.5892832464690412,0.4222984691912421
R80,H1883,-0.1619676726895476,-0.0763422021534149,-0.08562547053613269
R81,H1277,-0.1080813073844022,-0.4259222179005751,0.3178409105161729
R82,H543,-0.0820150238995072,-0.5125320014746804,0.43051697757517315
R83,H26,-0.1540542244902512,-0.6698860769674719,0.5158318524772207
R84,H1109,-0.3276566513762661,-0.0617872589342549,-0.2658693924420112
R85,H1083,-0.0782245546214116,-0.7582917948835698,0.6800672402621581
R86,H1459,-0.1310532700640249,-0.4950829461562862,0.3640296760922613
R87,H1099,-0.004021628728507,-0.8102204774773745,0.8061988487488675
R88,H1547,-0.1870421517847537,-0.5952570669105847,0.40821491512583097
R89,H573,-0.0522760319603628,-0.6402288493041365,0.5879528173437737
R90,H738,-0.0817462528008817,-0.3781887721323368,0.2964425193314551
R91,H313,-0.1438910703345998,-0.5707616677897049,0.42687059745510514
R92,H633,-0.2314532782699419,-0.1688243421395824,-0.0626289361303595
R93,H862,-0.1633107967945667,-0.6030758738399145,0.43976507704534773
R94,H1654,-0.0658860599491349,-0.7809598151083063,0.7150737551591714
R95,H195,-0.0355808225993049,-0.3971322046319516,0.3615513820326467
R96,H882,-0.0079892436210165,-0.7995049748503982,0.7915157312293817
R97,H836,-0.1674496043024792,-0.8009516581261875,0.6335020538237083
R98,H1579,-0.1768721248685609,-0.7385528787976632,0.5616807539291022
R99,H1049,-0.1107335559349779,-0.0472159364762225,-0.06351761945875539
R100,H1113,-0.2464147738894554,-0.4558319746993988,0.2094172008099434
R101,H2154,-0.0048808767344123,-0.0674327064077307,0.0625518296733184
R102,H1596,-0.0568415904406242,-0.50194909941256,0.44510750897193585
R103,H124,-0.0605119050645537,-0.0472560994181949,-0.013255805646358802
R104,H1858,-0.3931010634455533,-0.4824234399766001,0.0893223765310468
R105,H73,-0.0581716542560633,-0.7880906589742722,0.7299190047182089
R106,H1527,-0.178100779455113,-0.1612705881926841,-0.01683019126242888
R107,H68,-0.1729517164003552,-0.5997024234706639,0.4267507070703087
R108,H426,-0.0394807789066884,-0.5852100902315913,0.5457293113249029
R109,H292,-0.18683114035165,-0.6816145986347673,0.49478345828311726
R110,H901,-0.0731179827092997,-0.7975718405677888,0.7244538578584891
R111,H337,-0.1925830841455859,-0.7453253034225944,0.5527422192770085
R112,H490,-0.0214664666558025,-0.8276940136266214,0.8062275469708189
R113,H1931,-0.017473650904628,-0.8027766109002319,0.7853029599956038
R114,H1176,-0.2283227121844115,-0.804585003412259,0.5762622912278476
R115,H1945,-0.0039326278924789,-0.0150147130348278,0.011082085142348898
R116,H1272,-0.1301480600349735,-0.1134824879563863,-0.01666557207858721
R117,H1940,-0.0125259287550409,-0.2945016534650979,0.281975724710057
